id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
195,Bib.Pop.Pub. José R. de Erenchun,6574,1907.0,copesnet
2277,Bib.Pop.Pub. José Hernández,6581,1980.0,
197,Bib.Pop. Andrés Ferreyra,6581,1980.0,
1309,Bib.Pop. José M. Estrada,6581,1926.0,arnet
1710,Bib.Pop. D.F.Sarmiento,6581,1932.0,
3552,Bib. Pop. de Quequén,6581,1980.0,hotmail
135,Bib.Pop. D.F.Sarmiento,6595,1980.0,
201,Bib.Pop. Ferroviaria M.Gandhi,6595,1904.0,hotmail
202,Bib.Pop. Armando Collinet,6595,1909.0,
3652,Bib. Pop. Héctor N. Amoroso,6595,1996.0,yahoo
3811,Bib.Pop. Independencia,6595,1998.0,hotmail
3889,Bib.Pop. 1 de Mayo,6595,1980.0,
4176,Bib.Pop. Coty Laborde,6595,1980.0,
4371,Bib.Pop. Vecinal Don Helios Eseverri,6595,2010.0,
3939,Bib.Pop. Sierra Chica,6595,1999.0,
2371,Bib. Pop. Sierras Bayas,6595,1948.0,yahoo
4384,BP Del Otro Lado del Arbol,6595,2021.0,gmail
1246,Bib.Pop. Cervantes,6602,1927.0,yahoo
2646,Bib.Pop. Nuestra Señora de Luján,6609,1952.0,live
1633,Bib.Pop. D.F.Sarmiento,6609,1931.0,
215,Bib.Pop. Bernardino Rivadavia,6609,1910.0,gmail
3255,Bib.Pop. Dr. Dardo Rocha,6609,1993.0,yahoo
2073,Bib.Pop. Bartolomé Mitre,6616,1914.0,
1977,Bib.Pop. Melchor Echague,6623,1933.0,
1743,Bib.Pop. Almafuerte,6623,1926.0,hotmail
213,Bib.Pop.Pub.Mun. Dr. Menéndez,6623,1900.0,yahoo
1452,Bib.Pop. José Manuel Estrada,6623,1929.0,
3966,Bib.Pop. P.U.M.A.,6638,2002.0,yahoo
4250,Bib. Pop. Javier Velázquez,6638,2007.0,yahoo
4366,Bib.Pop. y Casa de la Cult. Estación Manzanares,6638,2001.0,hotmail
898,Bib.Pop. Bartolomé Mitre,6638,1922.0,yahoo
4344,Bib.Pop. Palabras del Alma,6638,2008.0,gmail
2984,Bib.Pop. Presidente Derqui,6638,1978.0,
3912,Bib.Pop. de Ostende,6644,1980.0,
2887,Bib.Pop. Manuel Belgrano,6644,1970.0,telpin
3968,Casa de la Cult. y Bib.Pop. José Hernández,6651,1990.0,yahoo
4222,Bib.Pop. Sur,6651,1988.0,yahoo
2158,Bib.Pop. Bernardino Rivadavia,6651,1930.0,
2209,Bib.Pop. Mariano Moreno,6655,1941.0,
98,Bib.Pop. José Manuel Estrada,6658,1980.0,
1988,Mariano Moreno,6658,1932.0,
3984,Bib.Pop. Fundaterra,6091,1980.0,yahoo
2090,Bib.Pop. de Don Bosco,6658,1972.0,hotmail
3752,Bib.Pop. de Ezpeleta Alfonsina Storni,6658,1998.0,yahoo
3878,Bib.Pop. Atahualpas,6658,1980.0,
2788,Bib.Pop. Pedro Goyena,6658,1959.0,yahoo
3969,Bib. Pop. Los Cooperarios,6658,2000.0,yahoo
4156,Asoc.y Bib.Pop. Dr. Juan Martín Vilaseca,6658,1980.0,gmail
4311,Bib.Pop. del Río de Quilmes,6658,2011.0,yahoo
3040,Bib.Pop. Juan Bautista Alberdi,6028,1984.0,
3585,Bib.Pop. Joan Rico de Bahia,6028,1994.0,
3793,Bib.Pop. Rincón de luz,6665,1999.0,
2554,Bib.Pop. José Manuel Estrada,6665,1951.0,
3794,Bib.Pop. Carlos Angel González,6665,1999.0,
3157,Bib.Pop. Fortunato Zampa,6665,1995.0,hotmail
221,Bib.Pop. Guido y Spano,6672,1920.0,gmail
4205,Ropero Comunitario y Bib. Pop. Eva Perón,6672,2001.0,yahoo
3697,Bib.Mun.Pop. Dr. Tomás Jofre,6679,1980.0,gmail
3829,Bib.Pop. Juan Bautista Alberdi de Rojas,6686,1932.0,
2341,Bib. Pop. Esteban Echeverría,6693,1946.0,yahoo
262,Bib.Pop. Juan Bautista Alberdi,6700,1942.0,
210,Bib.Pop. D.F.Sarmiento,6700,1914.0,gmail
236,Bib.Pop. Juan Bautista Alberdi,6700,1916.0,yahoo
2428,Bib.Pop.Mun. Bartolomé Mitre,6707,1980.0,
4127,Bib.Pop. Renacer,6714,1980.0,hotmail
233,Bib.Pop. Dr. Tristán G. Lobos,6714,1901.0,
232,Bib.Pop. Alberdi,6728,1980.0,
230,Bib.Pop. Belgrano,6735,2006.0,hotmail
2815,Bib.Pop. Mariano Moreno,6735,1957.0,yahoo
2115,Bib.Pop. Bernardino Rivadavia,6742,1940.0,
3403,Bib.Pop. D.F.Sarmiento,6742,1980.0,
3659,Bib.Pop. Delta del Paraná (Bibliolancha,6749,1997.0,
231,Bib.Pop. Juan N. Madero,6749,,gmail
3743,Bib.Pop.y Soc.Fom. Santa Genoveva,6749,1980.0,
3790,Bib. Pop. de San Fernando Leopoldo Murcho,6749,1980.0,
